WiFi1,WiFi2,WiFi3,WiFi4,WiFi5,WiFi6,WiFi7,Room,RegressionTarget
-61,-56,-64,-61,-72,-83,-86,1,-3880.0200720243724
-60,-57,-63,-62,-72,-85,-86,1,-3915.068381880884
-62,-60,-61,-66,-69,-80,-86,1,-3890.1534396361376
-64,-59,-62,-63,-69,-84,-81,1,-3830.2420783283437
-61,-58,-60,-62,-70,-81,-85,1,-3840.046638809932
-65,-61,-63,-63,-69,-82,-84,1,-3865.031232895004
-68,-56,-65,-67,-76,-87,-85,1,-4014.895217131888
-67,-56,-60,-66,-73,-93,-87,1,-4130.15105173732
-66,-55,-64,-71,-75,-94,-83,1,-4110.183511001499
-65,-57,-63,-71,-76,-87,-86,1,-4059.8162553428747
-64,-56,-64,-71,-75,-87,-87,1,-4075.168476886413
-64,-57,-63,-71,-77,-87,-83,1,-3994.881231165791
-65,-58,-65,-65,-74,-89,-85,1,-4009.9565052783996
-67,-65,-67,-68,-75,-87,-84,1,-3999.8491990030266
-70,-62,-62,-67,-69,-88,-86,1,-4059.9314507540766
-64,-58,-60,-67,-68,-84,-81,1,-3869.886044157844
-62,-53,-57,-60,-69,-87,-86,1,-3934.920830534799
-61,-56,-60,-58,-67,-79,-82,1,-3710.112846085716
-65,-54,-65,-70,-74,-83,-82,1,-3909.8922719430516
-67,-57,-67,-68,-75,-85,-80,1,-3889.9630040052575
-67,-55,-68,-67,-74,-83,-83,1,-3909.9715720285576
-68,-57,-66,-69,-76,-81,-82,1,-3884.9501232529965
-67,-56,-65,-66,-75,-83,-81,1,-3859.9631787638186
-68,-55,-66,-68,-75,-82,-83,1,-3910.0094486515018
-67,-57,-64,-68,-75,-82,-82,1,-3884.9119460139327
-68,-55,-73,-65,-76,-82,-82,1,-3859.890643017678
-68,-55,-67,-70,-76,-82,-81,1,-3889.8198928442616
-68,-56,-66,-69,-75,-82,-83,1,-3919.9651046647127
-68,-57,-67,-68,-75,-83,-83,1,-3924.8202966076424
-67,-56,-67,-70,-74,-81,-82,1,-3890.083108385473
-69,-59,-70,-67,-75,-82,-82,1,-3885.0403478193334
-63,-58,-59,-65,-74,-86,-84,1,-3935.028770944861
-68,-55,-63,-61,-74,-79,-85,1,-3834.898228286666
-67,-57,-60,-60,-75,-83,-87,1,-3919.8837402281415
-68,-57,-60,-61,-73,-87,-87,1,-3994.9263787557693
-66,-56,-60,-63,-74,-87,-93,1,-4125.048839048721
-69,-58,-56,-61,-73,-81,-93,1,-4029.902993034188
-66,-57,-61,-61,-73,-81,-90,1,-3955.1029189482333
-66,-57,-62,-61,-74,-81,-89,1,-3935.05368144127
-65,-57,-60,-64,-74,-81,-90,1,-3979.84225940025
-66,-57,-60,-68,-74,-82,-88,1,-4000.0790691333277
-66,-57,-64,-62,-68,-87,-88,1,-4015.0975525047706
-63,-57,-64,-69,-75,-85,-83,1,-3940.0914328969056
-66,-58,-64,-63,-73,-83,-86,1,-3925.0314357238917
-62,-58,-62,-65,-75,-90,-81,1,-3930.0337778194926
-62,-59,-62,-63,-74,-86,-81,1,-3849.8797277348795
-66,-58,-61,-63,-73,-81,-85,1,-3874.9743363921866
-66,-60,-62,-62,-70,-82,-85,1,-3879.941157283695
-60,-52,-59,-65,-66,-82,-80,1,-3779.943249483895
-61,-59,-58,-62,-65,-78,-78,1,-3655.1496599794327
-60,-57,-58,-59,-70,-76,-80,1,-3629.9599224147973
-62,-52,-56,-63,-64,-78,-81,1,-3729.870705293982
-58,-56,-51,-59,-65,-81,-84,1,-3775.050418909403
-59,-57,-60,-58,-67,-80,-79,1,-3655.0363646157775
-59,-57,-60,-60,-63,-81,-77,1,-3649.9703323743324
-55,-53,-57,-67,-64,-80,-78,1,-3704.97502012847
-57,-53,-54,-61,-73,-86,-81,1,-3804.9410750370535
-62,-52,-59,-62,-64,-80,-81,1,-3750.0414191192776
-61,-55,-56,-66,-73,-79,-80,1,-3750.162333951386
-62,-55,-64,-61,-60,-81,-77,1,-3674.8314861995545
-60,-51,-61,-63,-64,-86,-81,1,-3839.8170343551615
-60,-59,-55,-66,-66,-82,-86,1,-3909.9078140430966
-61,-54,-60,-60,-64,-79,-81,1,-3709.9731705779186
-59,-52,-58,-65,-66,-82,-80,1,-3775.044614448705
-64,-52,-57,-61,-66,-82,-81,1,-3780.0051299623497
-64,-50,-55,-63,-66,-78,-82,1,-3760.0905906394223
-61,-53,-52,-60,-72,-75,-81,1,-3650.0261109408266
-61,-52,-58,-59,-70,-76,-79,1,-3615.0269882330035
-62,-53,-55,-60,-68,-76,-79,1,-3630.137661310079
-62,-51,-54,-60,-74,-74,-82,1,-3659.813005574734
-61,-57,-58,-62,-67,-78,-76,1,-3614.9236981118124
-59,-50,-56,-59,-62,-78,-79,1,-3634.9768367934466
-59,-49,-57,-58,-65,-76,-79,1,-3594.9916669843024
-42,-53,-62,-38,-66,-65,-69,2,-2944.9635725779467
-44,-55,-61,-41,-66,-72,-68,2,-3069.9337301597375
-41,-58,-56,-40,-73,-69,-73,2,-3100.158874646804
-40,-55,-56,-41,-70,-74,-73,2,-3179.9091355608084
-38,-55,-53,-37,-72,-71,-73,2,-3085.0059312462645
-38,-54,-56,-45,-56,-72,-68,2,-3080.1411417243294
-38,-52,-54,-38,-64,-73,-77,2,-3205.024566464653
-37,-59,-57,-38,-69,-68,-73,2,-3045.2089347978595
-37,-61,-61,-37,-71,-68,-73,2,-3035.1157136851757
-37,-56,-56,-38,-68,-70,-66,2,-2935.025990038796
-37,-59,-57,-43,-73,-65,-66,2,-2909.910110742261
-39,-54,-61,-43,-75,-64,-74,2,-3064.9323878510722
-42,-57,-61,-43,-73,-67,-66,2,-2965.1004650151767
-40,-56,-58,-42,-67,-62,-71,2,-2969.983838886218
-41,-56,-54,-41,-76,-65,-68,2,-2950.1437947057816
-43,-55,-55,-39,-69,-67,-71,2,-3029.98647446191
-41,-56,-56,-38,-72,-67,-70,2,-2989.9463598220377
-41,-56,-60,-39,-72,-74,-66,2,-3024.8938815775496
-44,-52,-60,-37,-66,-67,-73,2,-3055.02987090641
-43,-55,-63,-37,-64,-67,-76,2,-3109.919112351756
-40,-59,-57,-43,-74,-65,-66,2,-2924.707695242358
-38,-57,-61,-38,-69,-73,-70,2,-3064.9308063037024
-39,-62,-58,-37,-69,-73,-72,2,-3100.000579168141
-35,-58,-61,-38,-67,-71,-71,2,-3040.0099341844607
-26,-55,-55,-38,-71,-71,-70,2,-2974.9509740573008
-38,-58,-59,-41,-65,-68,-74,2,-3099.961144419651
-27,-55,-57,-37,-67,-71,-71,2,-2989.929364927048
-19,-59,-67,-35,-65,-66,-74,2,-2915.0293951053845
-18,-63,-62,-38,-72,-71,-73,2,-2995.02018241211
-14,-58,-60,-38,-74,-74,-73,2,-3019.9417541792805
-17,-66,-61,-37,-68,-75,-77,2,-3120.007698968064
-16,-70,-58,-14,-73,-71,-80,2,-2884.9006222091925
-19,-62,-56,-13,-74,-72,-77,2,-2845.0120079193066
-18,-62,-56,-15,-71,-70,-79,2,-2870.0344116101724
-18,-62,-59,-14,-73,-71,-78,2,-2854.934406159538
-17,-63,-60,-14,-72,-72,-77,2,-2844.9650497868583
-17,-61,-60,-15,-72,-69,-79,2,-2850.037671267679
-17,-74,-60,-15,-73,-71,-80,2,-2899.822709253366
-16,-59,-60,-35,-69,-81,-78,2,-3204.975657635928
-12,-60,-62,-14,-71,-77,-71,2,-2774.9440762398335
-16,-58,-58,-13,-68,-76,-90,2,-3150.1498721701278
-21,-61,-62,-16,-76,-74,-74,2,-2854.9571541240784
-36,-57,-60,-20,-71,-74,-74,2,-2970.1985693406514
-39,-56,-58,-37,-64,-76,-72,2,-3145.064032062786
-36,-57,-61,-38,-63,-79,-71,2,-3165.0315940772234
-38,-60,-57,-38,-65,-79,-76,2,-3274.8155487385247
-38,-55,-54,-42,-63,-78,-71,2,-3199.834029815551
-38,-58,-53,-40,-63,-77,-70,2,-3144.9541263603314
-37,-61,-54,-37,-66,-74,-75,2,-3165.0709683024147
-41,-57,-51,-40,-66,-78,-71,2,-3194.929890239407
-41,-53,-49,-38,-71,-69,-75,2,-3119.9171236029983
-42,-53,-50,-47,-66,-80,-69,2,-3260.013965745286
-47,-55,-52,-49,-59,-78,-71,2,-3314.905581075844
-41,-58,-53,-38,-65,-79,-72,2,-3209.9580869299966
-45,-58,-59,-42,-66,-81,-75,2,-3359.946017686762
-41,-59,-53,-40,-69,-80,-78,2,-3364.8296237414743
-46,-58,-59,-40,-71,-78,-76,2,-3320.1468560138774
-42,-55,-57,-38,-71,-71,-76,2,-3175.016676271192
-42,-56,-50,-43,-68,-76,-77,2,-3320.0240190749005
-41,-58,-58,-42,-64,-79,-80,2,-3409.8880856926185
-39,-56,-55,-41,-62,-69,-75,2,-3139.994264885959
-38,-53,-53,-43,-78,-69,-75,2,-3154.924810594644
-45,-58,-55,-38,-68,-76,-75,2,-3245.1649584076104
-40,-56,-53,-50,-71,-79,-78,2,-3444.8900984008715
-43,-58,-56,-41,-69,-79,-78,2,-3369.980806185949
-45,-57,-58,-45,-77,-78,-80,2,-3445.113191656901
-48,-58,-57,-45,-73,-86,-92,2,-3819.941853996018
-38,-58,-60,-42,-66,-82,-79,2,-3420.08555401629
-45,-58,-58,-40,-70,-86,-80,2,-3514.937358907072
-40,-53,-56,-42,-69,-74,-78,2,-3290.1230546171155
-43,-60,-55,-46,-71,-76,-79,2,-3394.859220554382
-41,-59,-54,-41,-58,-80,-80,2,-3414.95423557777
-43,-59,-54,-39,-63,-79,-87,2,-3529.898695339231
-39,-54,-53,-45,-68,-78,-81,2,-3435.1049007488914
-48,-56,-54,-39,-67,-78,-82,2,-3440.0997263232853
-43,-58,-56,-43,-67,-78,-82,2,-3455.0048688217776
-41,-57,-55,-43,-65,-71,-76,2,-3220.0046199262492
-39,-56,-54,-48,-61,-78,-67,2,-3185.1128555601063
-38,-54,-50,-42,-60,-71,-67,2,-3014.86735775065
-38,-56,-53,-47,-61,-72,-83,2,-3400.0843995314917
-39,-56,-55,-39,-68,-74,-73,2,-3155.0639019670894
-38,-50,-71,-39,-68,-78,-74,2,-3229.9884125118215
-38,-57,-60,-39,-68,-73,-74,2,-3155.0081127355406
-37,-50,-53,-42,-65,-72,-71,2,-3104.940527372589
-40,-50,-49,-51,-65,-75,-80,2,-3434.9441390766488
-38,-52,-56,-44,-65,-71,-75,2,-3194.851313588193
-38,-51,-54,-45,-67,-72,-76,2,-3239.951945127929
-40,-55,-47,-47,-64,-75,-79,2,-3374.90533102011
-39,-56,-53,-40,-69,-75,-72,2,-3160.0004359792338
-43,-58,-50,-45,-71,-68,-74,2,-3164.8263987122004
-40,-53,-50,-40,-60,-69,-74,2,-3114.993467233347
-38,-58,-59,-37,-66,-74,-67,2,-3010.0787796253417
-38,-63,-61,-43,-64,-76,-76,2,-3280.0377320122793
-37,-56,-58,-39,-66,-70,-72,2,-3064.862345768236
-20,-63,-61,-35,-70,-73,-71,2,-2965.0471569845213
-39,-57,-55,-37,-67,-70,-73,2,-3074.9209349830753
-35,-58,-59,-40,-75,-75,-73,2,-3159.9420408947476
-19,-59,-55,-37,-73,-72,-66,2,-2864.919704330082
-20,-56,-55,-37,-61,-79,-72,2,-3094.9064719636754
-35,-54,-55,-40,-61,-79,-73,2,-3220.0019400394217
-19,-60,-56,-36,-63,-70,-75,2,-3005.1753907744815
-15,-60,-59,-37,-65,-74,-73,2,-3015.087811697289
-18,-60,-59,-17,-68,-75,-75,2,-2885.114412008368
-19,-63,-66,-20,-79,-73,-72,2,-2830.107002452034
-14,-59,-64,-16,-79,-76,-72,2,-2810.0680779317067
-13,-63,-65,-16,-74,-73,-74,2,-2799.947041175437
-13,-60,-63,-18,-70,-73,-73,2,-2799.958294783419
-12,-60,-68,-15,-74,-73,-70,2,-2704.926807792767
-12,-64,-63,-18,-69,-72,-74,2,-2799.986835479507
-17,-63,-65,-27,-86,-72,-74,2,-2915.1034059032013
-27,-59,-56,-38,-62,-75,-79,2,-3219.850350350362
-41,-58,-66,-41,-73,-71,-79,2,-3260.125482276559
-39,-54,-55,-37,-71,-64,-67,2,-2865.040037153649
-38,-56,-55,-39,-75,-71,-75,2,-3145.1098611145003
-38,-62,-57,-41,-77,-65,-68,2,-2935.0285806712336
-41,-57,-64,-42,-74,-69,-70,2,-3059.91654317653
-43,-59,-63,-40,-74,-66,-64,2,-2885.1261464530176
-44,-58,-63,-39,-80,-71,-72,2,-3114.9451474632133
-45,-58,-63,-45,-80,-76,-65,2,-3114.941315947276
-44,-57,-64,-40,-75,-69,-64,2,-2935.042082852751
-42,-58,-63,-41,-75,-69,-67,2,-2994.911039413666
-44,-57,-62,-41,-75,-65,-68,2,-2964.899255129693
-45,-58,-62,-40,-73,-70,-67,2,-3014.929738735265
-41,-59,-65,-47,-75,-68,-66,2,-3014.950351303605
-40,-63,-67,-40,-75,-70,-70,2,-3050.040766201223
-40,-56,-57,-35,-84,-70,-66,2,-2920.0022792358263
-36,-60,-57,-37,-68,-66,-77,2,-3080.0969620053615
-36,-59,-57,-19,-70,-69,-75,2,-2904.9399802821536
-17,-59,-63,-15,-70,-76,-85,2,-3074.944837190418
-35,-57,-54,-35,-64,-78,-76,2,-3214.9433655624516
-39,-54,-55,-37,-61,-77,-79,2,-3300.0378958118813
-42,-56,-52,-36,-75,-68,-81,2,-3210.0205686682484
-39,-51,-64,-38,-71,-78,-78,2,-3304.7431690251747
-43,-53,-53,-38,-63,-76,-73,2,-3194.965450314837
-40,-56,-56,-38,-66,-77,-74,2,-3214.856204044089
-41,-59,-53,-40,-62,-72,-76,2,-3204.910984475293
-42,-59,-57,-51,-62,-72,-76,2,-3320.1063414387195
-49,-62,-59,-43,-78,-79,-81,2,-3479.9727114554016
-48,-61,-58,-44,-75,-80,-89,2,-3660.0341068347593
-50,-54,-60,-43,-74,-76,-77,2,-3360.045351029969
-49,-56,-58,-42,-77,-76,-78,2,-3364.8415454574833
-51,-57,-59,-45,-77,-75,-81,2,-3449.9967468805394
-50,-58,-57,-42,-76,-74,-80,2,-3380.1174638207253
-48,-58,-58,-44,-71,-77,-79,2,-3414.9332594755497
-50,-55,-58,-43,-73,-75,-80,2,-3405.00488493562
-50,-56,-63,-45,-71,-76,-78,2,-3400.0359881918425
-50,-57,-58,-44,-82,-75,-78,2,-3374.7627318936807
-50,-55,-59,-41,-82,-75,-78,2,-3345.130238786756
-48,-63,-58,-44,-74,-79,-78,2,-3425.099149265607
-45,-56,-60,-46,-81,-79,-75,2,-3370.0327518938607
-50,-57,-61,-50,-74,-83,-79,2,-3574.9531963302566
-50,-57,-57,-50,-70,-77,-80,2,-3505.005069100577
-50,-55,-57,-48,-80,-81,-76,2,-3465.0574938328073
-49,-56,-60,-47,-72,-80,-79,2,-3495.033265852163
-48,-57,-60,-44,-71,-85,-77,2,-3495.1476575769593
-49,-56,-59,-49,-74,-82,-80,2,-3565.0692936293826
-48,-63,-55,-42,-71,-81,-79,2,-3454.9728890747097
-44,-63,-67,-46,-63,-81,-78,2,-3454.921022597002
-40,-59,-67,-50,-68,-79,-78,2,-3444.974218006759
-40,-63,-64,-50,-64,-75,-78,2,-3384.839033836338
-52,-60,-65,-48,-64,-79,-75,2,-3424.958829335118
-42,-58,-65,-46,-71,-77,-73,2,-3284.8168755846573
-42,-61,-63,-44,-74,-76,-75,2,-3290.1483086100884
-43,-62,-66,-43,-73,-77,-76,2,-3319.9124440016394
-41,-60,-65,-51,-72,-74,-78,2,-3385.0195178086005
-44,-59,-63,-42,-72,-79,-80,2,-3425.129070059751
-43,-60,-68,-46,-72,-83,-79,2,-3499.79729861224
-40,-58,-60,-49,-72,-74,-80,2,-3400.2235508157946
-37,-54,-55,-38,-72,-76,-79,2,-3284.8998858128225
-38,-55,-57,-37,-64,-68,-73,2,-3039.973079631528
-37,-56,-55,-38,-71,-75,-78,2,-3249.8838209421024
-40,-55,-66,-39,-75,-73,-78,2,-3245.0274593207682
-40,-56,-53,-42,-65,-72,-70,2,-3099.9650638582716
-40,-59,-57,-39,-67,-81,-74,2,-3285.1541658780284
-39,-56,-53,-49,-70,-80,-75,2,-3385.0180241999506
-42,-60,-56,-44,-74,-76,-80,2,-3389.8596277032425
-44,-54,-54,-45,-73,-71,-79,2,-3314.9596701750856
-44,-57,-53,-46,-67,-78,-79,2,-3429.9635898539377
-43,-55,-55,-44,-68,-76,-79,2,-3375.058367977907
-39,-59,-57,-42,-75,-78,-74,2,-3264.9226527340415
-41,-57,-59,-44,-65,-76,-77,2,-3324.870957407469
-42,-57,-51,-41,-69,-77,-75,2,-3275.1048327078875
-45,-58,-55,-46,-69,-75,-73,2,-3270.041428532625
-49,-56,-58,-50,-64,-75,-73,2,-3330.022767252347
-37,-58,-57,-37,-73,-75,-71,2,-3099.8439152579176
-35,-58,-55,-38,-61,-74,-79,2,-3244.936831189122
-38,-55,-57,-41,-66,-73,-69,2,-3074.974460828876
-38,-53,-53,-38,-66,-70,-69,2,-3000.145443880059
-40,-50,-52,-48,-68,-73,-71,2,-3194.8113206061944
-37,-53,-51,-37,-66,-71,-75,2,-3120.03658591555
-38,-56,-53,-28,-71,-67,-72,2,-2915.10098073552
-38,-51,-53,-37,-67,-67,-68,2,-2925.1179147628327
-37,-56,-57,-39,-61,-72,-74,2,-3134.8658058983624
-37,-56,-53,-43,-63,-72,-77,2,-3234.9907267327417
-37,-59,-54,-39,-72,-75,-70,2,-3100.113435303071
-37,-60,-53,-39,-65,-70,-68,2,-2984.9150193465453
-38,-58,-54,-38,-67,-72,-71,2,-3069.8804481760476
-37,-60,-52,-38,-65,-70,-70,2,-3014.820017976972
-37,-60,-53,-37,-64,-68,-67,2,-2914.887476517611
-38,-57,-55,-38,-62,-67,-65,2,-2875.0067994835877
-38,-56,-56,-37,-62,-67,-67,2,-2905.113184514159
-37,-59,-55,-38,-65,-67,-68,2,-2930.0216918043807
-37,-60,-53,-38,-65,-67,-70,2,-2969.955295720772
-37,-61,-55,-40,-63,-70,-67,2,-2974.9295825067525
-37,-58,-56,-38,-63,-75,-74,2,-3169.9114928750205
-38,-59,-52,-44,-69,-68,-76,2,-3169.943700083241
-48,-58,-56,-38,-65,-67,-76,2,-3144.9284071805787
-45,-58,-65,-38,-65,-66,-70,2,-2995.0521912279064
-40,-58,-52,-41,-66,-63,-75,2,-3055.0321165314117
-38,-52,-59,-48,-67,-64,-75,2,-3130.1453941474065
-39,-55,-55,-47,-80,-66,-63,2,-2914.929621453673
-37,-55,-57,-42,-63,-65,-64,2,-2859.989063653037
-43,-53,-51,-42,-73,-71,-66,2,-3020.1095627054724
-42,-53,-50,-44,-71,-68,-64,2,-2950.0716618528936
-42,-54,-51,-47,-64,-70,-65,2,-3030.1658833267106
-42,-55,-49,-45,-64,-70,-65,2,-3010.015788506601
-42,-54,-50,-45,-63,-68,-64,2,-2959.938525831135
-42,-53,-49,-44,-74,-70,-65,2,-3000.1365258546184
-40,-54,-49,-43,-62,-70,-65,2,-2980.135752687085
-40,-53,-50,-40,-62,-69,-65,2,-2935.0981668542686
-42,-54,-49,-41,-63,-69,-64,2,-2935.0835703597013
-40,-52,-51,-45,-64,-70,-65,2,-2999.9430772572177
-39,-53,-51,-40,-64,-67,-64,2,-2880.015605085398
-40,-52,-50,-41,-64,-69,-66,2,-2965.0331534672046
-40,-55,-49,-40,-61,-69,-66,2,-2954.9776079760104
-40,-53,-49,-41,-71,-66,-65,2,-2899.927593614905
-40,-52,-49,-41,-62,-69,-65,2,-2944.950930589709
-40,-53,-53,-40,-64,-64,-73,2,-3020.0895111163627
-42,-54,-52,-40,-61,-73,-71,2,-3124.9648767289304
-41,-58,-48,-40,-62,-72,-76,2,-3205.145888275605
-41,-55,-58,-43,-60,-71,-72,2,-3140.1146568658246
-40,-55,-52,-43,-60,-76,-72,2,-3209.9827553323166
-41,-55,-54,-40,-62,-71,-72,2,-3109.971962600556
-39,-53,-51,-43,-70,-72,-70,2,-3105.1001002017874
-41,-52,-57,-41,-63,-73,-68,2,-3069.9216144940947
-41,-52,-55,-40,-62,-76,-64,2,-3024.933808171341
-36,-60,-53,-35,-72,-71,-64,2,-2875.0653659015434
-37,-55,-55,-42,-69,-66,-69,2,-2974.984496749499
-35,-56,-55,-36,-69,-67,-78,2,-3100.0520050075065
-37,-54,-55,-42,-63,-71,-78,2,-3229.7983211309734
-37,-51,-54,-43,-60,-69,-70,2,-3049.9367747486126
-36,-55,-53,-46,-63,-68,-71,2,-3080.09375693177
-38,-54,-53,-42,-69,-72,-66,2,-3010.0800595013193
-36,-51,-67,-40,-63,-74,-68,2,-3050.16070189793
-36,-56,-53,-43,-63,-65,-70,2,-2984.9478703087357
-35,-53,-55,-47,-61,-66,-71,2,-3054.8553229339086
-35,-53,-57,-46,-64,-65,-70,2,-3010.0449826161794
-35,-54,-59,-46,-62,-66,-70,2,-3025.1183942973603
-35,-53,-58,-44,-63,-68,-71,2,-3055.0332944441184
-36,-53,-57,-40,-66,-70,-69,2,-3010.098741851304
-36,-56,-57,-46,-68,-68,-70,2,-3060.0172947129154
-37,-50,-56,-39,-67,-69,-70,2,-3010.065156597755
-37,-49,-57,-42,-62,-64,-71,2,-2984.94375292901
-36,-54,-53,-46,-63,-66,-76,2,-3150.0536810275094
-35,-59,-57,-42,-66,-71,-70,2,-3060.04768392787
-37,-58,-60,-37,-75,-65,-67,2,-2869.871739685876
-40,-54,-57,-42,-64,-67,-71,2,-3044.8817723833413
-44,-58,-58,-41,-75,-70,-64,2,-2960.117083129895
-41,-57,-63,-40,-73,-66,-65,2,-2895.1195220289574
-37,-56,-55,-45,-64,-61,-69,2,-2930.106457968542
-41,-58,-54,-42,-71,-65,-71,2,-3019.86183491332
-40,-55,-56,-36,-64,-65,-66,2,-2854.7415499268495
-40,-57,-58,-38,-64,-74,-79,2,-3269.9435716919543
-39,-51,-57,-36,-64,-65,-71,2,-2950.1010275515846
-35,-57,-59,-36,-63,-74,-75,2,-3145.0073977979455
-35,-57,-53,-34,-64,-76,-76,2,-3175.0096221939616
-19,-57,-59,-38,-66,-72,-71,2,-2974.9380584858786
-15,-58,-56,-15,-74,-76,-71,2,-2785.0139949654745
-14,-54,-57,-15,-69,-82,-71,2,-2869.9834494686297
-10,-57,-57,-36,-73,-82,-72,2,-3080.0261754355643
-14,-55,-57,-34,-67,-71,-72,2,-2915.150580155843
-14,-55,-58,-36,-67,-72,-74,2,-2990.16274678388
-15,-55,-57,-16,-71,-72,-74,2,-2794.926020778187
-16,-55,-56,-15,-64,-78,-76,2,-2919.9209439455144
-17,-53,-57,-17,-70,-77,-73,2,-2870.0414238660173
-34,-55,-58,-15,-65,-73,-72,2,-2855.047539759441
-34,-54,-61,-34,-70,-72,-73,2,-3049.9799574447807
-35,-55,-52,-14,-71,-69,-82,2,-2989.926254308273
-18,-50,-57,-36,-62,-66,-71,2,-2860.0995148901093
-27,-60,-56,-18,-65,-68,-72,2,-2775.1512182014217
-18,-57,-63,-16,-72,-73,-66,2,-2665.039864286886
-18,-57,-63,-34,-72,-65,-75,2,-2904.8473567247265
-37,-56,-58,-45,-65,-67,-72,2,-3079.9821669629137
-35,-58,-50,-35,-62,-72,-67,2,-2944.813009705482
-37,-51,-56,-36,-62,-72,-71,2,-3045.1729828829534
-38,-55,-51,-43,-64,-73,-73,2,-3175.136885121339
-38,-55,-51,-41,-72,-70,-73,2,-3109.974792391859
-43,-55,-54,-42,-58,-71,-72,2,-3140.0823194268087
-40,-57,-57,-43,-68,-89,-72,2,-3405.041359591502
-39,-56,-53,-46,-57,-73,-77,2,-3289.913051504334
-36,-57,-52,-40,-66,-75,-75,2,-3205.2094815932014
-40,-55,-57,-37,-71,-79,-77,2,-3294.9053960924216
-46,-54,-53,-48,-71,-78,-73,2,-3339.946275289403
-40,-57,-51,-46,-65,-75,-79,2,-3365.049998922638
-48,-56,-55,-46,-65,-86,-79,2,-3569.9685895696075
-45,-59,-54,-51,-69,-77,-85,2,-3589.8539033165544
-46,-58,-56,-43,-70,-72,-80,2,-3339.991996134268
-39,-54,-56,-40,-70,-77,-78,2,-3309.952612096101
-41,-58,-60,-47,-70,-82,-74,2,-3385.042569771627
-40,-54,-54,-45,-71,-76,-74,2,-3270.1449790782553
-42,-55,-56,-43,-73,-76,-75,2,-3280.074820122643
-41,-60,-54,-43,-73,-80,-74,2,-3314.9134949983695
-42,-54,-55,-49,-67,-80,-74,2,-3379.992221724519
-40,-55,-57,-50,-66,-75,-73,2,-3285.230996011846
-42,-55,-57,-44,-69,-73,-77,2,-3285.033973786227
-45,-55,-54,-43,-71,-89,-77,2,-3529.7910800449577
-46,-55,-54,-45,-62,-76,-73,2,-3280.145580511581
-47,-58,-55,-45,-62,-79,-85,2,-3569.9965150967037
-46,-59,-55,-49,-69,-74,-84,2,-3510.3113659774613
-45,-57,-55,-48,-67,-77,-84,2,-3540.191484663339
-46,-59,-54,-52,-67,-77,-83,2,-3564.921323941583
-43,-55,-54,-47,-67,-77,-79,2,-3419.928518912368
-39,-53,-56,-48,-66,-69,-72,2,-3150.0863892266216
-37,-52,-57,-36,-71,-66,-75,2,-3034.8502515471205
-42,-52,-54,-35,-65,-69,-73,2,-3055.0039023722306
-37,-50,-50,-36,-58,-69,-75,2,-3080.184858306038
-38,-57,-50,-38,-60,-74,-69,2,-3059.906741398598
-39,-55,-54,-48,-76,-73,-80,2,-3369.914596401155
-49,-54,-55,-53,-66,-73,-80,2,-3469.871076785603
-42,-54,-58,-41,-63,-75,-78,2,-3304.9726775748713
-40,-55,-53,-36,-60,-77,-77,2,-3254.939726175102
-37,-56,-56,-35,-69,-73,-69,2,-3010.0388922864186
-40,-59,-59,-39,-73,-71,-72,2,-3095.038792513005
-36,-58,-59,-36,-69,-71,-77,2,-3145.222649647693
-40,-58,-57,-40,-74,-79,-77,2,-3325.28544801037
-42,-51,-54,-41,-67,-72,-77,2,-3239.849262033861
-41,-55,-53,-37,-64,-79,-76,2,-3280.0286568097317
-42,-54,-49,-41,-68,-71,-77,2,-3224.923627906393
-38,-53,-51,-39,-68,-76,-72,2,-3159.9122140651025
-34,-48,-51,-37,-70,-78,-69,2,-3089.975180005215
-34,-53,-59,-36,-75,-73,-69,2,-3005.1847299549277
-35,-56,-52,-36,-72,-69,-67,2,-2910.0704295444907
-36,-55,-55,-36,-60,-73,-72,2,-3074.9726907068366
-35,-54,-56,-34,-61,-71,-74,2,-3059.973074746029
-35,-54,-54,-35,-59,-73,-70,2,-3019.902315810997
-36,-54,-54,-36,-62,-71,-70,2,-3004.76505972347
-34,-57,-55,-35,-59,-71,-69,2,-2964.946914914046
-36,-58,-52,-26,-61,-70,-70,2,-2889.9386101643245
-34,-61,-52,-27,-61,-67,-69,2,-2824.841711533265
-35,-56,-57,-34,-60,-73,-80,2,-3209.96612825991
-34,-61,-61,-36,-60,-73,-76,2,-3145.0720932898553
-35,-59,-57,-27,-61,-71,-76,2,-3029.9864090747587
-35,-60,-54,-35,-61,-81,-80,2,-3339.941582363803
-36,-60,-53,-36,-63,-70,-77,2,-3129.914667308087
-34,-62,-57,-36,-61,-71,-71,2,-3015.157702676799
-36,-59,-57,-35,-61,-65,-80,2,-3105.014496086359
-37,-59,-57,-36,-64,-66,-70,2,-2934.8306708242058
-36,-59,-55,-36,-65,-66,-70,2,-2930.028084850623
-36,-59,-55,-40,-65,-66,-69,2,-2949.950933652969
-35,-55,-56,-37,-66,-65,-69,2,-2900.0451299514925
-34,-55,-55,-36,-62,-70,-71,2,-3000.161428212442
-35,-58,-55,-36,-62,-70,-73,2,-3044.9255559606954
-41,-58,-53,-43,-61,-70,-70,2,-3084.9655695249635
-37,-56,-58,-36,-80,-72,-70,2,-3024.9966556514
-36,-60,-57,-37,-80,-72,-72,2,-3069.9933204716876
